,company,date,title,content
147,By Investing.com,"<span>Dec 28, 2011 07:47PM ET</span>",Forex - EUR/USD dives on growing European jitters,
148,By Investing.com,"<span>Dec 28, 2011 02:16PM ET</span>",Forex – Dollar sharply higher despite Italian auction,
149,By Investing.com,"<span>Dec 28, 2011 01:28PM ET</span>",Forex – EUR/USD snaps key support on euro zone fears,
150,By Investing.com,"<span>Dec 28, 2011 11:11AM ET</span>","Forex - Dollar rallies in risk-off trade, euro tumbles to 11-month low",
151,By Investing.com,"<span>Dec 28, 2011 10:26AM ET</span>",Forex - GBP/USD tumbles to 1-week low in thin trade,
152,By Investing.com,"<span>Dec 28, 2011 10:16AM ET</span>",Forex - EUR/USD drops below 1.30 as EU concerns linger,
153,By Investing.com,"<span>Dec 28, 2011 09:22AM ET</span>",Forex - USD/CAD drops to 3-week low on oil price strength,
154,By Investing.com,"<span>Dec 28, 2011 08:53AM ET</span>",Forex - USD/JPY slumps to 3-week low after Italian bond sale,
155,By Investing.com,"<span>Dec 28, 2011 07:47AM ET</span>","Forex - Dollar mixed to lower in thin trade, focus on euro zone",
156,By Investing.com,"<span>Dec 28, 2011 07:30AM ET</span>",Forex - GBP/USD steady after Italian bond auction,
157,By Investing.com,"<span>Dec 28, 2011 07:14AM ET</span>",Forex - EUR/USD range bound ahead of Italian 10-year debt sale,
158,By Investing.com,"<span>Dec 28, 2011 06:19AM ET</span>",Forex - Euro vulnerable despite successful Italian bond sale,
159,By Investing.com,"<span>Dec 28, 2011 06:05AM ET</span>",Forex - EUR/GBP range bound after Italian debt sale,
160,By Investing.com,"<span>Dec 28, 2011 05:50AM ET</span>","Forex - USD/CHF steady after Italian auction, Swiss data",
161,By Investing.com,"<span>Dec 28, 2011 05:24AM ET</span>","Forex - EUR/JPY hits one-week low, eyes on Italian debt sale",
162,By Investing.com,"<span>Dec 28, 2011 04:47AM ET</span>",Forex - Dollar mixed to lower in subdued trade,
163,By Investing.com,"<span>Dec 28, 2011 03:49AM ET</span>",Forex - GBP/USD unchanged ahead of Italian bond sales,
164,By Investing.com,"<span>Dec 28, 2011 03:33AM ET</span>",Forex - USD/JPY hits one-week low on Japanese data,
165,By Investing.com,"<span>Dec 28, 2011 03:08AM ET</span>",Forex - NZD/USD steady ahead of Italian bond auctions,
166,By Investing.com,"<span>Dec 28, 2011 02:59AM ET</span>",Forex - AUD/USD steady in subdued year-end trade,
167,By Investing.com,"<span>Dec 28, 2011 02:33AM ET</span>",Forex - EUR/USD unchanged as markets eye Italian bond sales,
168,By Investing.com,"<span>Dec 28, 2011 12:45AM ET</span>",Forex - USD/JPY down during Asian trade,
169,By Investing.com,"<span>Dec 27, 2011 11:23PM ET</span>",Forex - USD/JPY falls on Japanese output data,
170,By Investing.com,"<span>Dec 27, 2011 09:40PM ET</span>",Forex - Dollar firms on strong consumer confidence data,
171,By Investing.com,"<span>Dec 27, 2011 07:45PM ET</span>",Forex - EUR/USD dips on Italian bond worries,
172,By Investing.com,"<span>Dec 27, 2011 07:15PM ET</span>",Forex - USD/JPY down on economic data,
173,By Investing.com,"<span>Dec 27, 2011 06:35PM ET</span>",Forex - NZD/USD down in Asian trade,
174,By Investing.com,"<span>Dec 27, 2011 04:55PM ET</span>",Forex - EUR/USD up at the end of U.S. session,
175,By Investing.com,"<span>Dec 27, 2011 03:55PM ET</span>",Forex - GBP/USD up during the U.S. session,
176,By Investing.com,"<span>Dec 27, 2011 03:30PM ET</span>",Forex - USD/CHF down in U.S. trading hours,
